NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
Latitude (+ to N),-60,,1/1/10,12:00:00,2455198.00,0.10001369,,281.0362697,3957.926938,0.016704428,-0.070717212,280.9655525,3957.85622,0.98330788,280.9643068,23.43799052,23.43893291,-78.07670847,-22.98626449,0.043033177,-3.54907594,140.0233141,12:03:33,2:43:27,21:23:39,1120.186513,716.4509241,-0.887268985,37.01898796,52.98101204,0.012161581,52.99317362,1.356734396,
Longitude (+ to E),0,,1/2/10,12:00:00,2455199.00,0.10004107,,282.0219171,3958.912538,0.016704427,-0.037102229,281.9848148,3958.875436,0.983299685,281.9835708,23.43799016,23.43893035,-76.97398218,-22.89868564,0.043033167,-4.016469379,139.7438961,12:04:01,2:45:02,21:23:00,1117.951169,715.9835306,-1.004117345,37.10803193,52.89196807,0.01220089,52.90416896,1.533266899,
Time Zone (+ to E),0,,1/3/10,12:00:00,2455200.00,0.10006845,,283.0075644,3959.898138,0.016704426,-0.003475561,283.0040889,3959.894663,0.983296602,283.0028465,23.4379898,23.4389278,-75.87272787,-22.80350868,0.043033157,-4.478104816,139.4424621,12:04:29,2:46:42,21:22:15,1115.539697,715.5218952,-1.119526204,37.20482916,52.79517084,0.012243726,52.80741457,1.706909197,
Local Time (hrs),12:00:00,,1/4/10,12:00:00,2455201.00,0.10009582,,283.9932118,3960.883738,0.016704425,0.030152199,284.023364,3960.913891,0.983298631,284.0221232,23.43798945,23.43892524,-74.77307039,-22.7007802,0.043033148,-4.933492065,139.1196534,12:04:56,2:48:27,21:21:25,1112.957228,715.0665079,-1.233373016,37.30932313,52.69067687,0.01229009,52.70296696,1.87742844,
Year,2010,,1/5/10,12:00:00,2455202.00,0.10012320,,284.9788592,3961.869339,0.016704424,0.063770452,285.0426296,3961.933109,0.983305772,285.0413904,23.43798909,23.43892268,-73.6751315,-22.59055053,0.043033138,-5.382151753,138.7761362,12:05:23,2:50:17,21:20:29,1110.20909,714.6178482,-1.345537938,37.421453,52.578547,0.012339986,52.59088698,2.044600669,
,,,1/6/10,12:00:00,2455203.00,0.10015058,,285.9645065,3962.854939,0.016704423,0.097368608,286.0618751,3962.952308,0.983318021,286.0606375,23.43798874,23.43892012,-72.57902971,-22.47287361,0.043033128,-5.823616062,138.4125968,12:05:49,2:52:10,21:19:28,1107.300775,714.1763839,-1.455904015,37.54115375,52.45884625,0.012393415,52.47123967,2.208211312,
,,,1/7/10,12:00:00,2455204.00,0.10017796,,286.9501539,3963.840539,0.016704422,0.130936081,287.08109,3963.971475,0.983335376,287.079854,23.43798838,23.43891756,-71.48488003,-22.34780692,0.043033119,-6.257429435,138.0297371,12:06:15,2:54:08,21:18:23,1104.237897,713.7425706,-1.564357359,37.6683563,52.3316437,0.012450379,52.34409408,2.368055621,
,,,1/8/10,12:00:00,2455205.00,0.10020534,,287.9358012,3964.82614,0.01670442,0.164462298,288.1002635,3964.990602,0.98335783,288.0990292,23.43798802,23.438915,-70.39279381,-22.21541141,0.043033109,-6.683149254,137.6282701,12:06:41,2:56:10,21:17:12,1101.026161,713.3168507,-1.670787314,37.80298774,52.19701226,0.012510882,52.20952314,2.523939069,
,,,1/9/10,12:00:00,2455206.00,0.10023272,,288.9214486,3965.81174,0.016704419,0.197936701,289.1193853,3966.009677,0.983385377,289.1181525,23.43798767,23.43891244,-69.30287864,-22.07575135,0.043033099,-7.100346484,137.2089158,12:07:06,2:58:16,21:15:56,1097.671326,712.8996535,-1.775086621,37.94497144,52.05502856,0.012574928,52.06760349,2.675677691,
,,,1/10/10,12:00:00,2455207.00,0.10026010,,289.907096,3966.79734,0.016704418,0.231348751,290.1384447,3967.028689,0.983418007,290.1372135,23.43798731,23.43890988,-68.2152381,-21.92889432,0.04303309,-7.508606285,136.7723971,12:07:31,3:00:25,21:14:36,1094.179177,712.4913937,-1.877151571,38.09422727,51.90577273,0.012642519,51.91841525,2.823098376,
