NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise Time (LST),Sunset Time (LST),Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
Latitude (+ to N),0,,1/1/10,12:00:00,2455197.88,0.10001027,,280.9130638,3957.803738,0.016704429,-0.074917736,280.8381461,3957.72882,0.983309263,280.8369002,23.43799056,23.43893323,-78.21464643,-22.99667543,0.043033178,-3.49027171,90.90492165,15:03:29,8:59:52,21:07:07,727.2393732,536.5097283,-45.87256793,50.1392971,39.8607029,0.019295474,39.87999838,120.5943653,
Longitude (+ to E),0,,1/2/10,12:00:00,2455198.88,0.10003765,,281.8987112,3958.789338,0.016704427,-0.041304958,281.8574062,3958.748033,0.98330043,281.856162,23.4379902,23.43893067,-77.11174506,-22.91004944,0.043033168,-3.958349925,90.90434235,15:03:58,9:00:20,21:07:35,727.2347388,536.0416501,-45.98958748,50.2095125,39.7904875,0.019343442,39.80983094,120.4392865,
Time Zone (+ to E),3,,1/3/10,12:00:00,2455199.88,0.10006502,,282.8843585,3959.774938,0.016704426,-0.007679171,282.8766793,3959.767259,0.983296708,282.8754367,23.43798985,23.43892812,-76.01029986,-22.81581976,0.043033158,-4.420732133,90.90371539,15:04:25,9:00:48,21:08:02,727.2297231,535.5792679,-46.10518303,50.27620499,39.72379501,0.019389134,39.74318414,120.2759006,
Local Time (hrs),12:00:00,,1/4/10,12:00:00,2455200.88,0.10009240,,283.8700059,3960.760538,0.016704425,0.025949031,283.8959549,3960.786487,0.983298098,283.8947139,23.43798949,23.43892556,-74.91043605,-22.71403255,0.043033149,-4.876926849,90.90304187,15:04:53,9:01:16,21:08:29,727.2243349,535.1230732,-46.21923171,50.33933205,39.66066795,0.019432499,39.68010045,120.1043027,
Year,2010,,1/5/10,12:00:00,2455201.88,0.10011978,,284.8556532,3961.746139,0.016704424,0.059569052,284.9152223,3961.805708,0.983304599,284.9139829,23.43798914,23.438923,-73.8122758,-22.60473765,0.043033139,-5.32645331,90.90232295,15:05:20,9:01:43,21:08:56,727.2185836,534.6735467,-46.33161333,50.39885482,39.60114518,0.019473493,39.62061868,119.9245878,
,,,1/6/10,12:00:00,2455202.88,0.10014716,,285.8413006,3962.731739,0.016704423,0.093170299,285.9344709,3962.824909,0.983316211,285.9332331,23.43798878,23.43892044,-72.71593801,-22.48798856,0.043033129,-5.768842213,90.90155988,15:05:46,9:02:10,21:09:23,727.212479,534.2311578,-46.44221055,50.45473813,39.54526187,0.019512074,39.56477394,119.7368512,
,,,1/7/10,12:00:00,2455203.88,0.10017454,,286.826948,3963.717339,0.016704422,0.126742186,286.9536901,3963.844081,0.983332928,286.952454,23.43798842,23.43891788,-71.62153814,-22.36384233,0.04303312,-6.203636431,90.90075398,15:06:12,9:02:36,21:09:48,727.2060318,533.7963636,-46.55090911,50.50695051,39.49304949,0.019548202,39.51259769,119.5411877,
,,,1/8/10,12:00:00,2455204.88,0.10020192,,287.8125953,3964.70294,0.016704421,0.160274138,287.9728695,3964.863214,0.983354745,287.9716349,23.43798807,23.43891532,-70.52918803,-22.23235947,0.04303311,-6.630391691,90.89990663,15:06:38,9:03:02,21:10:14,727.199253,533.3696083,-46.65759792,50.55546416,39.44453584,0.019581842,39.46411768,119.3376925,
,,,1/9/10,12:00:00,2455205.88,0.10022930,,288.7982427,3965.68854,0.016704419,0.193755594,288.9919983,3965.882295,0.983381655,288.9907653,23.43798771,23.43891276,-69.43899573,-22.09360386,0.0430331,-7.048677228,90.89901926,15:07:03,9:03:27,21:10:39,727.1921541,532.9513228,-46.76216931,50.60025496,39.39974504,0.019612961,39.419358,119.1264604,
,,,1/10/10,12:00:00,2455206.88,0.10025667,,289.78389,3966.67414,0.016704418,0.227176014,290.0110661,3966.901316,0.98341365,290.0098347,23.43798736,23.4389102,-68.35106533,-21.94764265,0.043033091,-7.458076395,90.89809338,15:07:27,9:03:52,21:11:03,727.184747,532.5419236,-46.8645191,50.64130252,39.35869748,0.019641532,39.37833901,118.9075856,
,,,1/11/10,12:00:00,2455207.88,0.10028405,,290.7695374,3967.65974,0.016704417,0.260524878,291.0300623,3967.920265,0.983450719,291.0288325,23.437987,23.43890763,-67.26549686,-21.79454615,0.043033081,-7.858187246,90.89713053,15:07:51,9:04:16,21:11:27,727.1770442,532.1418128,-46.96454681,50.67859012,39.32140988,0.019667528,39.34107741,118.6811626,
,,,1/12/10,12:00:00,2455208.88,0.10031143,,291.7551848,3968.645341,0.016704416,0.293791695,292.0489765,3968.939132,0.98349285,292.0477483,23.43798664,23.43890507,-66.18238612,-21.63438777,0.043033071,-8.248623082,90.89613232,15:08:15,9:04:40,21:11:50,727.1690586,531.7513769,-47.06215577,50.71210475,39.28789525,0.019690929,39.30758618,118.447285,
,,,1/13/10,12:00:00,2455209.88,0.10033881,,292.7408321,3969.630941,0.016704415,0.326966004,293.0677981,3969.957907,0.983540028,293.0665715,23.43798629,23.4389025,-65.10182458,-21.46724383,0.043033062,-8.629012957,90.89510039,15:08:38,9:05:03,21:12:13,727.1608031,531.370987,-47.15725324,50.74183713,39.25816287,0.019711716,39.27787458,118.2060462,
,,,1/14/10,12:00:00,2455210.88,0.10036619,,293.7264795,3970.616541,0.016704414,0.360037376,294.0865169,3970.976579,0.98359224,294.0852918,23.43798593,23.43889994,-64.02389932,-21.29319355,0.043033052,-8.999002148,90.89403641,15:09:00,9:05:25,21:12:35,727.1522913,531.0009979,-47.24975054,50.76778168,39.23221832,0.019729877,39.2519482,117.9575389,
,,,1/15/10,12:00:00,2455211.88,0.10039357,,294.7121269,3971.602142,0.016704412,0.392995424,295.1051223,3971.995137,0.983649467,295.1038988,23.43798558,23.43889737,-62.94869286,-21.11231885,0.043033042,-9.358252587,90.89294212,15:09:21,9:05:47,21:12:56,727.143537,530.6417474,-47.33956315,50.78993653,39.21006347,0.019745401,39.22980887,117.7018554,
,,,1/16/10,12:00:00,2455212.88,0.10042094,,295.6977742,3972.587742,0.016704411,0.425829801,296.123604,3973.013572,0.983711691,296.1223821,23.43798522,23.4388948,-61.87628315,-20.92470431,0.043033033,-9.706443249,90.89181926,15:09:42,9:06:08,21:13:16,727.1345541,530.2935568,-47.42661081,50.80830355,39.19169645,0.019758281,39.21145473,117.4390873,
,,,1/17/10,12:00:00,2455213.88,0.10044832,,296.6834216,3973.573342,0.01670441,0.458530206,297.1419518,3974.031872,0.983778892,297.1407315,23.43798486,23.43889224,-60.80674351,-20.73043698,0.043033023,-10.04327051,90.89066961,15:10:03,9:06:29,21:13:36,727.1253569,529.9567295,-47.51081763,50.82288835,39.17711165,0.019768517,39.19688017,117.1693255,
,,,1/18/10,12:00:00,2455214.88,0.10047570,,297.6690689,3974.558942,0.016704409,0.491086388,298.1601553,3975.050029,0.983851047,298.1589366,23.43798451,23.43888967,-59.74014252,-20.52960636,0.043033013,-10.36844845,90.88949496,15:10:22,9:06:49,21:13:56,727.1159597,529.6315516,-47.59211211,50.83370024,39.16629976,0.019776108,39.18607587,116.8926603,
,,,1/19/10,12:00:00,2455215.88,0.10050308,,298.6547163,3975.544543,0.016704408,0.523488149,299.1782045,3976.068031,0.983928134,299.1769873,23.43798415,23.4388871,-58.67654405,-20.3223042,0.043033004,-10.68170913,90.88829714,15:10:41,9:07:08,21:14:14,727.1063771,529.3182909,-47.67042728,50.84075229,39.15924771,0.019781062,39.17902878,116.6091811,
,,,1/20/10,12:00:00,2455216.88,0.10053046,,299.6403637,3976.530143,0.016704407,0.55572535,300.196089,3977.085868,0.984010127,300.1948734,23.4379838,23.43888453,-57.6160072,-20.10862442,0.043032994,-10.98280283,90.88707798,15:10:59,9:07:26,21:14:32,727.0966238,529.0171972,-47.74570071,50.8440613,39.1559387,0.019783387,39.17572208,116.3189765,
,,,1/21/10,12:00:00,2455217.88,0.10055784,,300.626011,3977.515743,0.016704406,0.587787909,301.2137989,3978.103531,0.984097,301.2125848,23.43798344,23.43888196,-56.55858628,-19.888663,0.043032984,-11.27149822,90.88583932,15:11:16,9:07:44,21:14:49,727.0867146,528.7285018,-47.81787456,50.84364783,39.15635217,0.019783096,39.17613527,116.0221344,
