Date,Solar Zenith Angle (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N)
1/1/10,37.01898796,52.99317362,1.356734396
1/8/10,37.80298774,52.20952314,2.523939069
1/15/10,38.94655939,51.06647446,3.490159985
1/22/10,40.41933056,49.5944021,4.207824477
1/29/10,42.18546158,47.82915036,4.656332923
2/5/10,44.20632806,45.80935192,4.839436607
2/12/10,46.4425558,43.57439435,4.779967315
2/19/10,48.85528605,41.16315608,4.513691177
2/26/10,51.40676548,38.61341808,4.08353046
3/5/10,54.06045899,35.96175272,3.534821245
3/12/10,56.7808933,33.24368253,2.911841198
3/19/10,59.53339502,30.49394475,2.255564228
3/26/10,62.28382818,27.74675731,1.602435033
4/2/10,64.99838763,25.03602914,0.983872033
4/9/10,67.64347758,22.39548532,0.426186788
4/16/10,70.18569478,19.85868584,359.9506444
4/23/10,72.59193593,17.45891495,359.5734708
4/30/10,74.82964876,15.22891475,359.3057208
5/7/10,76.8672402,13.20043684,359.1530258
5/14/10,78.67464198,11.4035934,359.1153236
5/21/10,80.22401569,9.866008424,359.1867094
5/28/10,81.49055876,8.611820693,359.3555378
6/4/10,82.45335326,7.660690161,359.6048591
6/11/10,83.0961821,7.027072071,359.9132078
6/18/10,83.40822712,6.719991551,0.25570321
6/25/10,83.38456434,6.743265503,0.605384261
7/2/10,83.02638958,7.095800851,0.934686146
7/9/10,82.34094157,7.771617727,1.216962636
7/16/10,81.34113219,8.759630717,1.427955742
7/23/10,80.04493349,10.04356366,1.547107536
7/30/10,78.47459746,11.60232258,1.55860861
8/6/10,76.65579352,13.4108192,1.452097605
8/13/10,74.61674517,15.44099517,1.222974808
8/20/10,72.38743424,17.66280295,0.87236366
8/27/10,69.99892487,20.04501431,0.406827162
9/3/10,67.48284039,22.55581839,359.8379958
9/10/10,64.87100574,25.16321439,359.1822694
9/17/10,62.19524971,27.83522226,358.4607075
9/24/10,59.48734841,30.5399415,357.6991325
10/1/10,56.77908735,33.24548679,356.9283504
10/8/10,54.10242334,35.91982249,356.1842809
10/15/10,51.48973285,38.53051053,355.5077026
10/22/10,48.9741303,41.04438898,354.9432841
10/29/10,46.58981621,43.42722117,354.5375982
11/5/10,44.37236813,45.64340281,354.3358996
11/12/10,42.35882149,47.65587936,354.3776022
11/19/10,40.58732947,49.42648482,354.6906386
11/26/10,39.0961767,50.91692681,355.2852603
12/3/10,37.9219957,52.09056885,356.1483694
12/10/10,37.09722458,52.91497153,357.2400281
12/17/10,36.64712817,53.36487024,358.494011
12/24/10,36.58698728,53.42498488,359.823662
