Date,Solar Zenith Angle (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N)
1/1/10,23.00245432,67.00439556,177.9093432
1/8/10,22.27497957,67.73162991,175.9165143
1/15/10,21.21389301,68.79237022,173.9294038
1/22/10,19.83781416,70.16800732,171.9412373
1/29/10,18.1705681,71.83472822,169.9323368
2/5/10,16.24066808,73.76403264,167.8586088
2/12/10,14.08102489,75.92302294,165.6284977
2/19/10,11.72915901,78.27419159,163.0506683
2/26/10,9.22885168,80.77377051,159.6935408
3/5/10,6.637324282,83.36455368,154.41321
3/12/10,4.063056724,85.93694328,143.1450408
3/19/10,2.00380846,87.99619154,104.0313823
3/26/10,2.680483157,87.31951684,31.96140407
4/2/10,5.073913872,84.92751907,10.13448255
4/9/10,7.65301633,82.34915221,2.960981346
4/16/10,10.18579272,79.81710688,359.7374261
4/23/10,12.59795241,77.40565424,358.1336725
4/30/10,14.84337944,75.16089735,357.3834506
5/7/10,16.88542646,73.11947188,357.1592164
5/14/10,18.69274631,71.31271338,357.2924898
5/21/10,20.23826108,69.76768814,357.6825238
5/28/10,21.49903076,68.50732502,358.2606349
6/4/10,22.45641585,67.55025335,358.9744607
6/11/10,23.09632618,66.91055491,359.7803522
6/18/10,23.40946268,66.59752283,0.639359674
6/25/10,23.39149528,66.61548422,1.514848072
7/2/10,23.04313812,66.96372528,2.370817803
7/9/10,22.37010496,67.63653581,3.170438776
7/16/10,21.38295327,68.62336479,3.874413959
7/23/10,20.09684682,69.90905722,4.438643906
7/30/10,18.53127825,71.47413082,4.810197493
8/6/10,16.70980268,73.2950417,4.919508368
8/13/10,14.65986909,75.34435244,4.664023468
8/20/10,12.41296149,77.5905905,3.870888498
8/27/10,10.00569208,79.99715519,2.200802622
9/3/10,7.484247225,82.51787294,358.8509831
9/10/10,4.924592848,85.07540715,351.3432536
9/17/10,2.575772187,87.42422781,328.0809368
9/24/10,2.05245064,87.94754936,254.9582869
10/1/10,4.14885257,85.85114743,218.2872616
10/8/10,6.709138538,83.29275992,207.4791678
10/15/10,9.281623552,80.72101389,202.3336559
10/22/10,11.76332504,78.2400356,199.0362541
10/29/10,14.09865516,75.90539794,196.4923773
11/5/10,16.24467654,73.76002541,194.2840812
11/12/10,18.16439188,71.84090252,192.2247026
11/19/10,19.82518431,70.18063315,190.2247504
11/26/10,21.19859134,68.80766693,188.2414997
12/3/10,22.26054106,67.74606367,186.2565283
12/10/10,22.99181989,67.01502646,184.2642736
12/17/10,23.37866681,66.62830841,182.2656732
12/24/10,23.41336522,66.59362159,180.2645073
